loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/initial_learning_rate,config/decay_patience,config/decay_rate,config/num_layers,config/units_per_layer,config/activation,config/batch_size,config/epochs,config/h,config/patience,logdir
257004.712421875,1732823536,,False,1,ae023724,2024-11-28_20-52-16,505.424818277359,505.424818277359,38180,MW-PRD-197955,127.0.0.1,505.424818277359,1,0.001,100,0.9801609555287357,5,64,ReLU,8,2000,24,200,ae023724
244660.4384375,1732823813,,False,1,add6b1b8,2024-11-28_20-56-53,708.5325536727905,708.5325536727905,44464,MW-PRD-197955,127.0.0.1,708.5325536727905,1,0.001,100,0.9783848748444001,2,128,ReLU,8,2000,24,200,add6b1b8
248764.689921875,1732823730,,False,1,e9f9a191,2024-11-28_20-55-30,595.3343842029572,595.3343842029572,19132,MW-PRD-197955,127.0.0.1,595.3343842029572,1,0.001,100,0.9822773113654053,2,64,ReLU,8,2000,24,200,e9f9a191
255676.92,1732823527,,False,1,a536d7fc,2024-11-28_20-52-07,365.6694059371948,365.6694059371948,7672,MW-PRD-197955,127.0.0.1,365.6694059371948,1,0.001,100,0.7933834991061318,2,128,ReLU,8,2000,24,200,a536d7fc
238261.80078125,1732823456,,False,1,ce820731,2024-11-28_20-50-56,272.39129400253296,272.39129400253296,34328,MW-PRD-197955,127.0.0.1,272.39129400253296,1,0.001,10,0.8831860867211364,2,128,ReLU,8,2000,24,200,ce820731
241837.8103125,1732823441,,False,1,f11ba4bc,2024-11-28_20-50-41,249.73614048957825,249.73614048957825,39824,MW-PRD-197955,127.0.0.1,249.73614048957825,1,0.001,10,0.7632656863438904,2,128,ReLU,8,2000,24,200,f11ba4bc
238314.754296875,1732823464,,False,1,c86ed361,2024-11-28_20-51-04,253.04901218414307,253.04901218414307,34964,MW-PRD-197955,127.0.0.1,253.04901218414307,1,0.001,10,0.7705431927770853,2,128,ReLU,8,2000,24,200,c86ed361
244243.704375,1732823505,,False,1,7f647041,2024-11-28_20-51-45,271.0689024925232,271.0689024925232,31132,MW-PRD-197955,127.0.0.1,271.0689024925232,1,0.001,10,0.771516578945491,2,128,ReLU,8,2000,24,200,7f647041
248679.84921875,1732823886,,False,1,c9169c90,2024-11-28_20-58-06,627.3539004325867,627.3539004325867,43336,MW-PRD-197955,127.0.0.1,627.3539004325867,1,0.001,100,0.6628413676212509,5,256,ReLU,8,2000,24,200,c9169c90
232610.9934375,1732823856,,False,1,5f3d9269,2024-11-28_20-57-36,552.3414413928986,552.3414413928986,23292,MW-PRD-197955,127.0.0.1,552.3414413928986,1,0.0001,100,0.6579016907290895,5,256,ReLU,8,2000,24,200,5f3d9269
232617.668984375,1732823855,,False,1,55b26546,2024-11-28_20-57-35,485.09828782081604,485.09828782081604,26552,MW-PRD-197955,127.0.0.1,485.09828782081604,1,0.0001,100,0.6600260982605634,5,256,ReLU,8,2000,24,200,55b26546
249587.756484375,1732823863,,False,1,0e87037e,2024-11-28_20-57-43,395.0759677886963,395.0759677886963,44240,MW-PRD-197955,127.0.0.1,395.0759677886963,1,0.001,100,0.6611405177163362,3,128,ReLU,8,2000,24,200,0e87037e
267758.3246875,1732823812,,False,1,68e70216,2024-11-28_20-56-52,320.79540038108826,320.79540038108826,40940,MW-PRD-197955,127.0.0.1,320.79540038108826,1,0.0001,10,0.6723465736798088,3,128,ReLU,8,2000,24,200,68e70216
245705.0740625,1732823976,,False,1,12d399fb,2024-11-28_20-59-36,459.278968334198,459.278968334198,24488,MW-PRD-197955,127.0.0.1,459.278968334198,1,0.0001,10,0.8892108447460711,3,128,ReLU,8,2000,24,200,12d399fb
222552.57265625,1732824610,,False,1,98d565e0,2024-11-28_21-10-10,1068.1617534160614,1068.1617534160614,26520,MW-PRD-197955,127.0.0.1,1068.1617534160614,1,0.0001,100,0.8898515217661374,3,128,ReLU,8,2000,24,200,98d565e0
239956.75625,1732824004,,False,1,1ed13a51,2024-11-28_21-00-04,438.0484492778778,438.0484492778778,29616,MW-PRD-197955,127.0.0.1,438.0484492778778,1,0.0001,10,0.8766600057771027,3,256,ReLU,8,2000,24,200,1ed13a51
234494.8103125,1732824117,,False,1,775c6181,2024-11-28_21-01-57,522.2978549003601,522.2978549003601,14552,MW-PRD-197955,127.0.0.1,522.2978549003601,1,0.0001,10,0.9003592312698221,3,256,ReLU,8,2000,24,200,775c6181
235817.3425,1732824105,,False,1,e05fb295,2024-11-28_21-01-45,478.8673915863037,478.8673915863037,25236,MW-PRD-197955,127.0.0.1,478.8673915863037,1,0.0001,10,0.8829217133349094,3,256,ReLU,8,2000,24,200,e05fb295
252067.469296875,1732824073,,False,1,595265f5,2024-11-28_21-01-13,308.25044870376587,308.25044870376587,3584,MW-PRD-197955,127.0.0.1,308.25044870376587,1,0.0001,10,0.6555982668203768,3,256,ReLU,8,2000,24,200,595265f5
238478.140703125,1732824333,,False,1,c5a29002,2024-11-28_21-05-33,487.3914475440979,487.3914475440979,29364,MW-PRD-197955,127.0.0.1,487.3914475440979,1,0.0001,10,0.888391483152754,3,256,ReLU,8,2000,24,200,c5a29002
239047.634921875,1732824447,,False,1,0e08c6b4,2024-11-28_21-07-27,572.1004724502563,572.1004724502563,20644,MW-PRD-197955,127.0.0.1,572.1004724502563,1,0.0001,10,0.9005705211620129,3,256,ReLU,8,2000,24,200,0e08c6b4
236186.76625,1732824508,,False,1,5c5e2e35,2024-11-28_21-08-28,606.3059039115906,606.3059039115906,19444,MW-PRD-197955,127.0.0.1,606.3059039115906,1,0.0001,100,0.6412350487710518,5,256,ReLU,8,2000,24,200,5c5e2e35
237015.472109375,1732824601,,False,1,6943720b,2024-11-28_21-10-01,670.0149195194244,670.0149195194244,2992,MW-PRD-197955,127.0.0.1,670.0149195194244,1,0.0001,100,0.6276953323430475,4,256,ReLU,8,2000,24,200,6943720b
236369.19546875,1732824493,,False,1,712424ee,2024-11-28_21-08-13,528.4379887580872,528.4379887580872,23424,MW-PRD-197955,127.0.0.1,528.4379887580872,1,0.0001,100,0.7277741864437596,4,256,ReLU,8,2000,24,200,712424ee
227821.430390625,1732824740,,False,1,51251988,2024-11-28_21-12-20,739.245837688446,739.245837688446,27276,MW-PRD-197955,127.0.0.1,739.245837688446,1,0.0001,100,0.6235302129547008,4,256,ReLU,8,2000,24,200,51251988
231386.1409375,1732824669,,False,1,9f38e3d5,2024-11-28_21-11-09,633.0625658035278,633.0625658035278,16600,MW-PRD-197955,127.0.0.1,633.0625658035278,1,0.0001,100,0.7278217260439908,4,256,ReLU,8,2000,24,200,9f38e3d5
230193.982109375,1732824805,,False,1,859d07f7,2024-11-28_21-13-25,727.9745712280273,727.9745712280273,24644,MW-PRD-197955,127.0.0.1,727.9745712280273,1,0.0001,100,0.7250090480054143,4,256,ReLU,8,2000,24,200,859d07f7
235113.37234375,1732824672,,False,1,76fa9df9,2024-11-28_21-11-12,555.7004911899567,555.7004911899567,10120,MW-PRD-197955,127.0.0.1,555.7004911899567,1,0.0001,100,0.72942614519494,4,256,ReLU,32,2000,24,200,76fa9df9
240021.031484375,1732824752,,False,1,0f186f2d,2024-11-28_21-12-32,601.5813994407654,601.5813994407654,37332,MW-PRD-197955,127.0.0.1,601.5813994407654,1,0.0001,100,0.7305728563521394,4,256,ReLU,32,2000,24,200,0f186f2d
243082.681875,1732824760,,False,1,46306bde,2024-11-28_21-12-40,571.7480189800262,571.7480189800262,14416,MW-PRD-197955,127.0.0.1,571.7480189800262,1,0.0001,100,0.7262212005550365,4,256,ReLU,32,2000,24,200,46306bde
233146.48765625,1732825073,,False,1,4c1ca254,2024-11-28_21-17-53,700.9802350997925,700.9802350997925,17768,MW-PRD-197955,127.0.0.1,700.9802350997925,1,0.0001,100,0.7316404032489832,4,256,ReLU,32,2000,24,200,4c1ca254
228365.070625,1732825273,,False,1,2e0a1332,2024-11-28_21-21-13,789.6168236732483,789.6168236732483,19252,MW-PRD-197955,127.0.0.1,789.6168236732483,1,0.0001,100,0.7239337321544881,4,256,ReLU,8,2000,24,200,2e0a1332
237673.572421875,1732825102,,False,1,1630bb6e,2024-11-28_21-18-22,575.2929368019104,575.2929368019104,13316,MW-PRD-197955,127.0.0.1,575.2929368019104,1,0.0001,100,0.6249957819192072,4,256,ReLU,32,2000,24,200,1630bb6e
235384.55453125,1732825198,,False,1,21d9f729,2024-11-28_21-19-58,636.6999566555023,636.6999566555023,37480,MW-PRD-197955,127.0.0.1,636.6999566555023,1,0.0001,100,0.5544220862976936,4,256,ReLU,32,2000,24,200,21d9f729
244630.931171875,1732824995,,False,1,cf6548e2,2024-11-28_21-16-35,361.66466903686523,361.66466903686523,25080,MW-PRD-197955,127.0.0.1,361.66466903686523,1,0.0001,25,0.5968086084685306,4,256,ReLU,32,2000,24,200,cf6548e2
236347.098125,1732825119,,False,1,79719569,2024-11-28_21-18-39,451.45950961112976,451.45950961112976,29200,MW-PRD-197955,127.0.0.1,451.45950961112976,1,0.0001,100,0.5647243872392368,4,512,ReLU,32,2000,24,200,79719569
245419.03828125,1732825132,,False,1,bc089f89,2024-11-28_21-18-52,430.7646129131317,430.7646129131317,23568,MW-PRD-197955,127.0.0.1,430.7646129131317,1,0.0001,100,0.6949049190376333,4,512,ReLU,32,2000,24,200,bc089f89
286149.20421875,1732825279,,False,1,f420207f,2024-11-28_21-21-19,540.9670085906982,540.9670085906982,37308,MW-PRD-197955,127.0.0.1,540.9670085906982,1,0.0001,100,0.7011950080704142,4,64,ReLU,64,2000,24,200,f420207f
250792.343984375,1732825161,,False,1,a8e45f5c,2024-11-28_21-19-21,390.6023442745209,390.6023442745209,7468,MW-PRD-197955,127.0.0.1,390.6023442745209,1,0.0001,100,0.5717374569773513,5,512,ReLU,64,2000,24,200,a8e45f5c
260349.3184375,1732825326,,False,1,12f2d69e,2024-11-28_21-22-06,523.2474784851074,523.2474784851074,14152,MW-PRD-197955,127.0.0.1,523.2474784851074,1,1e-05,25,0.58600080704514,5,512,ReLU,64,2000,24,200,12f2d69e
262857.6425,1732825417,,False,1,1fc080b1,2024-11-28_21-23-37,583.0776369571686,583.0776369571686,14984,MW-PRD-197955,127.0.0.1,583.0776369571686,1,1e-05,25,0.5832112165067078,5,512,ReLU,64,2000,24,200,1fc080b1
255296.374296875,1732825229,,False,1,9ebc8e96,2024-11-28_21-20-29,359.48046469688416,359.48046469688416,42292,MW-PRD-197955,127.0.0.1,359.48046469688416,1,0.0001,100,0.6968907410461386,5,512,ReLU,64,2000,24,200,9ebc8e96
252284.984453125,1732825652,,False,1,030a566a,2024-11-28_21-27-32,620.1511545181274,620.1511545181274,23840,MW-PRD-197955,127.0.0.1,620.1511545181274,1,1e-05,100,0.6997780860284275,5,512,ReLU,64,2000,24,200,030a566a
256722.926015625,1732825711,,False,1,383f23f4,2024-11-28_21-28-31,601.241447687149,601.241447687149,26136,MW-PRD-197955,127.0.0.1,601.241447687149,1,1e-05,100,0.6975308248571203,5,512,ReLU,64,2000,24,200,383f23f4
544164.72765625,1732825560,,False,1,1537604c,2024-11-28_21-26-00,417.7364044189453,417.7364044189453,30800,MW-PRD-197955,127.0.0.1,417.7364044189453,1,1e-05,100,0.7013815212876138,5,16,ReLU,64,2000,24,200,1537604c
