pred,kWh,p,q,P,Q
4333470.825917512,4460769.972125,0,0,0,0
4186254.45701053,4323827.022625,0,0,0,0
4097709.901874803,4263008.296999999,0,0,0,0
4421251.782114074,4605152.3467500005,0,0,0,0
5176440.709849775,5330506.9245,0,0,0,0
5904227.963506289,6112326.848375,0,0,0,0
6248304.508250326,6542202.144875,0,0,0,0
6260148.47530064,6608214.850625,0,0,0,0
6362214.552373484,6684080.48375,0,0,0,0
6565951.913515165,6774555.01725,0,0,0,0
6201524.201997191,6422013.18,0,0,0,0
6168119.077475108,6433928.609499999,0,0,0,0
6044249.842369109,6353133.057124999,0,0,0,0
5937614.119299911,6292348.492125,0,0,0,0
5894775.390335634,6197352.953125,0,0,0,0
5854667.790387891,6161493.9325,0,0,0,0
5929146.141779482,6227695.027125,0,0,0,0
5835806.633045435,6112485.20625,0,0,0,0
5684546.386506498,5970819.678125001,0,0,0,0
5619199.060148351,5848066.525375,0,0,0,0
5571326.761374816,5793474.2555,0,0,0,0
5163856.81449981,5406733.160625,0,0,0,0
5063981.581990115,5124123.972,0,0,0,0
4903647.472865127,4942562.366875,0,0,0,0
4721744.390115127,4801411.689125,0,0,0,0
4548857.584607966,4613385.415624999,0,0,0,0
4431012.65347939,4466598.841,0,0,0,0
4784228.299725801,4745019.56475,0,0,0,0
5441425.817038327,5457387.6095,0,0,0,0
6118410.6394622475,6148260.154375,0,0,0,0
6440116.468195267,6510598.9418750005,0,0,0,0
6473754.605068006,6605165.6096250005,0,0,0,0
6550844.069186136,6713533.075750001,0,0,0,0
6753536.073669806,6780504.54325,0,0,0,0
6357262.429557301,6492299.427,0,0,0,0
6366612.171309292,6539997.7345,0,0,0,0
6236725.540385157,6487995.331125,0,0,0,0
6200662.296073414,6425217.1431249995,0,0,0,0
6140583.610453457,6381411.652125,0,0,0,0
6113432.169353746,6394850.3535,0,0,0,0
6171550.694188885,6481769.7681249995,0,0,0,0
6078148.428782918,6391051.12125,0,0,0,0
5896099.924620256,6207954.833125,0,0,0,0
5801755.381365113,6002422.213375,0,0,0,0
5748877.220452458,5749402.0065,0,0,0,0
5356262.398125857,5379409.295625,0,0,0,0
4956748.586085461,5126754.512,0,0,0,0
4803509.3203602955,4900244.893874999,0,0,0,0
4655518.051210478,4818173.283125,0,0,0,0
4498594.163310662,4642539.225625001,0,0,0,0
4387439.086967401,4547749.623,0,0,0,0
4709464.64021384,4893098.4657499995,0,0,0,0
5424491.260592446,5628502.943499999,0,0,0,0
6127738.228753336,6310148.385375001,0,0,0,0
6522588.653983161,6609374.404874999,0,0,0,0
6637026.039700173,6753040.296625,0,0,0,0
6790637.963504858,6952138.406749999,0,0,0,0
6943243.7858091295,7129770.560249999,0,0,0,0
6494254.701622985,6874627.001,0,0,0,0
6439682.608145446,6942636.7905,0,0,0,0
6299153.28957089,6804889.829125,0,0,0,0
6167419.502685986,6696405.036125,0,0,0,0
6059290.916062273,6657128.426124999,0,0,0,0
6015663.281586677,6560615.0725,0,0,0,0
6082479.638275906,6572825.055125,0,0,0,0
5933198.497853324,6323246.912249999,0,0,0,0
5673332.788534649,6005315.813125001,0,0,0,0
5557930.287015408,5761885.233375001,0,0,0,0
5469478.2804457545,5646591.0295,0,0,0,0
5138793.189142495,5263604.527625,0,0,0,0
4822728.505601719,5001240.091,0,0,0,0
4646834.45197314,4794450.999875,0,0,0,0
4552031.447201677,4710275.428125,0,0,0,0
4382263.577701665,4517655.112625001,0,0,0,0
4254555.853580244,4387517.722,0,0,0,0
4570401.915323079,4669346.15475,0,0,0,0
5242292.97853183,5354038.4465,0,0,0,0
5901978.020270094,6076904.348375,0,0,0,0
6152879.4918308705,6517393.475875,0,0,0,0
6079527.226773612,6517416.124624999,0,0,0,0
6203955.549818195,6575506.571749999,0,0,0,0
6335789.656724244,6669320.524250001,0,0,0,0
5972175.631712705,6282126.688,0,0,0,0
5966804.530555688,6273507.969500001,0,0,0,0
5879557.669700965,6115876.702125001,0,0,0,0
5777609.421366639,5961596.010125,0,0,0,0
5717999.152129181,5895844.333125,0,0,0,0
5639253.344754726,5877450.3145,0,0,0,0
5699012.478792846,5904997.427125,0,0,0,0
5591528.637458801,5819205.54525,0,0,0,0
5416600.973867141,5666774.883125,0,0,0,0
5324260.243044928,5576212.008374999,0,0,0,0
5304950.363913789,5499229.9865,0,0,0,0
4937415.176580012,5149153.829624999,0,0,0,0
4753225.510973036,4877735.056,0,0,0,0
4546313.227455355,4707708.129875,0,0,0,0
4404841.944608748,4589595.633125,0,0,0,0
4236848.234605178,4420372.357625,0,0,0,0
4131149.6514765993,4304668.594,0,0,0,0
4432191.863226578,4580502.5057500005,0,0,0,0
5076094.384324446,5191590.3305,0,0,0,0
5670783.129410781,5775974.056375,0,0,0,0
5961713.2868943885,6068085.596875,0,0,0,0
5985507.65890976,6129942.926625,0,0,0,0
6088751.529376492,6200205.210750001,0,0,0,0
6194006.530990519,6272808.592250001,0,0,0,0
5833396.116834797,6007854.182,0,0,0,0
5817880.2991493195,5988477.4245,0,0,0,0
5725078.680949241,5915274.812125,0,0,0,0
5626071.747110069,5823904.690125,0,0,0,0
5529952.4941416085,5671652.878125,0,0,0,0
5576676.786548153,5745927.1275,0,0,0,0
5704036.684215374,5850655.173125001,0,0,0,0
5614741.117938243,5800503.830250001,0,0,0,0
5395996.184107065,5631226.408125,0,0,0,0
5302146.02517572,5507372.735375,0,0,0,0
5265488.29890316,5474919.428499999,0,0,0,0
4979266.362569399,5185717.046625,0,0,0,0
4880683.538463809,4977610.158,0,0,0,0
4661557.83383882,4822051.856375,0,0,0,0
4433777.126831666,4588843.434375,0,0,0,0
4182241.7579318285,4351297.442875,0,0,0,0
3971358.2324459255,4136418.5785,0,0,0,0
4032498.0056959316,4156978.9717500005,0,0,0,0
4220658.81394235,4339583.2325,0,0,0,0
4428052.069767125,4466133.7065,0,0,0,0
4747890.179138988,4773891.970125,0,0,0,0
4972007.015051112,4969899.48325,0,0,0,0
5121851.601067543,5066710.858750001,0,0,0,0
5151115.03377606,5125126.4473749995,0,0,0,0
5021816.662423678,5064822.776374999,0,0,0,0
4894973.168148473,5053556.040125,0,0,0,0
4853182.328941435,5048830.934125001,0,0,0,0
4793404.258956939,5076739.144125,0,0,0,0
4778192.908710346,5016965.095875,0,0,0,0
4913250.943877779,5110752.223250001,0,0,0,0
5093572.13247823,5257338.5655,0,0,0,0
5115120.187165171,5307888.554125,0,0,0,0
4988655.0462,5195769.6835,0,0,0,0
4965349.271264799,5111028.345875001,0,0,0,0
5026757.414526328,5108590.864999999,0,0,0,0
4788959.12981756,4867857.30975,0,0,0,0
4541508.476195261,4649082.706,0,0,0,0
4394761.084945254,4496306.178749999,0,0,0,0
4208096.1468059495,4291509.418625,0,0,0,0
4009447.309180945,4088522.701,0,0,0,0
3813923.1412987784,3918493.262125,0,0,0,0
3739070.287291631,3871047.5311249997,0,0,0,0
3753187.853451997,3900015.8723750003,0,0,0,0
3822185.6218198687,3935894.1955,0,0,0,0
3994936.7118914053,4118881.0947499997,0,0,0,0
4163732.2722533643,4337890.58275,0,0,0,0
4254664.805340499,4475136.3209999995,0,0,0,0
4350226.039195247,4607559.385375001,0,0,0,0
4367167.070886284,4617429.54175,0,0,0,0
4227291.597685963,4480606.085124999,0,0,0,0
4146731.1553418413,4370081.017625,0,0,0,0
4147025.2649355605,4314351.748125,0,0,0,0
4281379.451571561,4378725.695125,0,0,0,0
4488011.7602015585,4642712.505249999,0,0,0,0
4718367.626047283,4926408.176750001,0,0,0,0
4783335.725739464,5002264.178875,0,0,0,0
4727336.400639281,4932098.2088750005,0,0,0,0
4743140.571129009,4969114.5375,0,0,0,0
4795026.496774778,5026703.961999999,0,0,0,0
4435012.863652088,4740953.067625,0,0,0,0
4380134.32560306,4509977.483,0,0,0,0
4225582.623581789,4344101.557875,0,0,0,0
4167220.0683425292,4268221.936125,0,0,0,0
4034707.5739534423,4115621.680625,0,0,0,0
3978319.126224704,4091970.596,0,0,0,0
4324893.542478241,4495895.66975,0,0,0,0
5054737.099583276,5132350.337499999,0,0,0,0
5836439.709148072,5757966.805375,0,0,0,0
6274502.265512362,6136977.454875,0,0,0,0
6328070.262005009,6211328.389625,0,0,0,0
6410362.111231469,6259694.28975,0,0,0,0
6510370.939488858,6366849.826249999,0,0,0,0
6169918.3268705085,6056920.087,0,0,0,0
6198971.395062968,6084691.1655,0,0,0,0
6092211.60261637,6004455.930125,0,0,0,0
6018219.209395163,5968570.725125,0,0,0,0
5938220.2108683735,5913331.408124999,0,0,0,0
5897050.301858366,5883890.1435,0,0,0,0
5959670.607498966,5977115.752125001,0,0,0,0
5840617.523315303,5868855.24425,0,0,0,0
5701828.366669595,5657259.834125,0,0,0,0
5577372.871615551,5540651.919375,0,0,0,0
5517704.519190595,5440719.978499999,0,0,0,0
5130904.722856827,5096746.6606250005,0,0,0,0
4680550.373751938,4838240.982000001,0,0,0,0
4503419.223737843,4686061.755875,0,0,0,0
4357838.179484263,4555571.020125,0,0,0,0
4174242.272487819,4386487.333625,0,0,0,0
4031886.064366415,4256010.526,0,0,0,0
4310306.788116425,4612742.59575,0,0,0,0
5027163.9008287415,5186234.0525,0,0,0,0
5723053.826794945,5781241.122375,0,0,0,0
6085392.702902287,6102700.032875,0,0,0,0
6175967.582849167,6129193.894625,0,0,0,0
6287297.87900874,6226190.41175,0,0,0,0
6350336.43737907,6327577.55325,0,0,0,0
6070964.208432399,6217231.614,0,0,0,0
6131576.836859837,6614938.3165,0,0,0,0
6092699.079023875,6557036.403125,0,0,0,0
6012962.455366105,6402784.386125,0,0,0,0
5929629.588662304,6144799.605125,0,0,0,0
5893323.496028677,6022492.2195,0,0,0,0
5999648.523672819,6086214.345124999,0,0,0,0
5884457.654418655,5937280.70925,0,0,0,0
5683111.587150484,5744424.979125001,0,0,0,0
5458417.810621001,5661940.142375,0,0,0,0
5186267.302721411,5568500.7605,0,0,0,0
4807355.157380477,5159889.477624999,0,0,0,0
4771987.562329724,4886718.6049999995,0,0,0,0
4536617.299804859,4708537.462874999,0,0,0,0
4587456.595554881,4603508.591125,0,0,0,0
4420683.271062039,4429618.204625,0,0,0,0
4334754.490051508,4307352.475,0,0,0,0
4684533.699305095,4658534.36575,0,0,0,0
5424368.454951324,5261999.6334999995,0,0,0,0
6110150.6674287915,5931463.499375001,0,0,0,0
6411341.680771753,6314897.064875,0,0,0,0
6557089.880674861,6372642.860625,0,0,0,0
6760559.744452,6466993.87175,0,0,0,0
6942356.425650969,6572126.208249999,0,0,0,0
6694018.959744163,6277868.755,0,0,0,0
6795278.433340974,6231375.131500001,0,0,0,0
6656412.8683764115,6121010.074125,0,0,0,0
6546312.28023494,6028885.437124999,0,0,0,0
6510381.741991647,5958849.366125001,0,0,0,0
6412456.277483277,6008374.6245,0,0,0,0
6443184.976714507,5972195.897125,0,0,0,0
6202553.936794579,5843581.186249999,0,0,0,0
5889112.082846589,5628884.804125,0,0,0,0
5662259.795690626,5575111.905375,0,0,0,0
5557645.981437042,5517896.666499999,0,0,0,0
5179089.934672937,5103903.873625001,0,0,0,0
4713498.010744289,4866331.739,0,0,0,0
4511139.2861228585,4663181.347875,0,0,0,0
4462406.557794139,4533793.328125,0,0,0,0
4278647.063908622,4353768.144625001,0,0,0,0
4152939.951179862,4231817.609,0,0,0,0
4439198.839040756,4512756.26275,0,0,0,0
5123891.13079077,5134801.5075,0,0,0,0
5845759.19647415,5741850.151375,0,0,0,0
6278765.393007696,6052433.766875,0,0,0,0
6274530.592364609,6044597.344625001,0,0,0,0
6339544.624357671,6083688.39275,0,0,0,0
6440986.667838179,6125680.276250001,0,0,0,0
6054463.0288579315,5837873.194,0,0,0,0
6062187.885724276,5845215.6545,0,0,0,0
5909521.672513187,5766491.752125,0,0,0,0
5764222.303703614,5689783.077125,0,0,0,0
5711764.913480125,5694165.388125,0,0,0,0
5685415.342167452,5708664.9675,0,0,0,0
5714840.812865458,5796374.847124999,0,0,0,0
5638645.025865041,5694308.84725,0,0,0,0
5478672.731314763,5552345.140125,0,0,0,0
5386348.901409283,5488427.429375,0,0,0,0
5309014.582174391,5399016.4305,0,0,0,0
4958879.81244795,5040863.366625,0,0,0,0
4648345.37141484,4803048.9120000005,0,0,0,0
4478318.533897176,4626129.610874999,0,0,0,0
4360206.037147194,4488614.233124999,0,0,0,0
4204273.861157939,4318441.419625,0,0,0,0
4097430.830540076,4186184.0519999997,0,0,0,0
4377695.02018632,4452342.95275,0,0,0,0
4997702.456616908,5030175.260500001,0,0,0,0
5587631.876711965,5698624.089375,0,0,0,0
5876897.901487589,6111271.679874999,0,0,0,0
5943451.436545774,6199645.8936250005,0,0,0,0
6003502.854112133,6363770.1077499995,0,0,0,0
6072058.933616042,6407048.137250001,0,0,0,0
5789790.780297294,6056087.959000001,0,0,0,0
5755772.789735079,5907754.1035,0,0,0,0
5668840.3219341785,5772640.505125,0,0,0,0
5558547.12486282,5679076.828125,0,0,0,0
5391184.379523158,5591415.482124999,0,0,0,0
5455779.174126774,5607067.9665,0,0,0,0
5534833.388315558,5649459.850125,0,0,0,0
5453490.18827346,5513202.33125,0,0,0,0
5269132.8657784015,5330141.221125,0,0,0,0
5124387.848241031,5221543.420375001,0,0,0,0
5072804.328948736,5145644.1885,0,0,0,0
4774682.4240005165,4870804.537625,0,0,0,0
4534730.206584156,4682545.364,0,0,0,0
4379171.816351861,4523004.196374999,0,0,0,0
4132672.2948411405,4375085.114375,0,0,0,0
3903987.1249555945,4180718.943875,0,0,0,0
3693538.627084166,3970520.6085,0,0,0,0
3718529.3868377507,4005197.48575,0,0,0,0
3905622.804157436,4145745.5415,0,0,0,0
4033875.4432468414,4283440.0035,0,0,0,0
4341253.918237418,4526781.079125,0,0,0,0
4530776.513802171,4700417.66625,0,0,0,0
4619959.798321679,4780219.24675,0,0,0,0
4667460.102882892,4829333.092375,0,0,0,0
4596506.898016423,4733462.996375,0,0,0,0
4571185.854684472,4648173.390125,0,0,0,0
4523006.661167845,4556306.796125,0,0,0,0
4538269.576310828,4529854.144125,0,0,0,0
4455577.477920622,4537015.901875,0,0,0,0
4552389.235447347,4674110.98525,0,0,0,0
4688823.412597433,4800399.7495,0,0,0,0
4731804.01170072,4777901.215125,0,0,0,0
4615783.176308304,4735674.692500001,0,0,0,0
4522415.911511213,4751738.761875,0,0,0,0
4519567.520424873,4770107.438,0,0,0,0
4269914.61931628,4527260.34975,0,0,0,0
4181757.9895889014,4340521.213,0,0,0,0
4024551.1844426244,4182961.65875,0,0,0,0
3837475.7131172717,4085534.676625,0,0,0,0
3634489.0840996057,3908085.645,0,0,0,0
3473320.3782317787,3730732.4801250002,0,0,0,0
3430305.013735354,3696704.799125,0,0,0,0
3463703.810096234,3735841.032375,0,0,0,0
3507327.4499046057,3786086.5245,0,0,0,0
3695652.9946361184,3964674.0747499997,0,0,0,0
3932266.5457328707,4120397.45775,0,0,0,0
4086940.3313107193,4208962.41,0,0,0,0
4241604.785417289,4269867.006375,0,0,0,0
4251558.301689118,4268313.46675,0,0,0,0
4137680.6523008347,4169317.916125,0,0,0,0
4014006.458038375,4138602.4156250004,0,0,0,0
3991319.7352892905,4145276.771125,0,0,0,0
4069043.483258784,4241897.158125,0,0,0,0
4343324.34262462,4488857.57125,0,0,0,0
4652873.314417541,4748043.02475,0,0,0,0
4739026.553049117,4797141.048875,0,0,0,0
4691160.851454124,4740383.252875,0,0,0,0
4745401.277326867,4791522.5625,0,0,0,0
4811968.926358849,4804920.973,0,0,0,0
4530589.608421341,4520847.124625,0,0,0,0
4172291.2089574486,4324792.075,0,0,0,0
4010845.561728671,4198496.652875,0,0,0,0
3912814.1074608117,4136686.577125,0,0,0,0
3764644.2184643745,4026720.543625,0,0,0,0
3740993.1338393986,3950246.017,0,0,0,0
4149348.574092984,4233063.54875,0,0,0,0
4785803.330450296,4871177.4815,0,0,0,0
5416789.299561739,5515412.883375,0,0,0,0
5789815.49892655,5908353.289875,0,0,0,0
5863579.507696226,6096210.312625,0,0,0,0
5909334.7865392715,6121954.27575,0,0,0,0
6027118.474340767,6319917.00325,0,0,0,0
5711673.985232964,6165324.472,0,0,0,0
5707752.650533557,6099470.6674999995,0,0,0,0
5642034.870771721,5871897.707125,0,0,0,0
5640610.609330222,5891306.818125,0,0,0,0
5542670.850587562,5812961.856125,0,0,0,0
5509828.088620156,5700737.5215,0,0,0,0
5580870.920365021,5738895.118125,0,0,0,0
5458380.001031786,5489416.55525,0,0,0,0
5219670.891490683,5263294.811125,0,0,0,0
5084519.690303758,5181710.526375,0,0,0,0
4979042.055208713,5085796.124500001,0,0,0,0
4626149.302867815,4767059.5126249995,0,0,0,0
4381286.207791835,4571529.120999999,0,0,0,0
4220246.160052314,4406476.544875,0,0,0,0
4111907.2568202317,4286943.241125001,0,0,0,0
3942823.658927545,4134516.9606250003,0,0,0,0
3812346.762695208,4013729.7860000003,0,0,0,0
4169078.832445219,4286490.930749999,0,0,0,0
4747000.655698776,4872612.3205,0,0,0,0
5339397.104291797,5414125.940375,0,0,0,0
5664612.908152506,5754333.515875,0,0,0,0
5688907.058831826,5767702.7006250005,0,0,0,0
5772640.144935265,5880719.75275,0,0,0,0
5870829.73917301,6002301.603250001,0,0,0,0
5753853.722348765,5720554.583000001,0,0,0,0
6132281.687937081,5664446.6565000005,0,0,0,0
6047760.345254168,5588953.177125,0,0,0,0
5879920.534183875,5536642.6431249995,0,0,0,0
5646503.907308221,5446274.262125,0,0,0,0
5529835.048990041,5432292.8055,0,0,0,0
5562859.498948783,5572966.519125,0,0,0,0
