datetime,pred,kWh,seasonality
2023-07-01 00:00:00,4973043.764270365,4992377.298,168
2023-07-01 01:00:00,4744104.5875087455,4781911.091375001,168
2023-07-01 02:00:00,4611959.8702649325,4645118.083374999,168
2023-07-01 03:00:00,4426338.721664771,4447286.931875001,168
2023-07-01 04:00:00,4189198.3735355437,4221513.2945,168
2023-07-01 05:00:00,4200846.103541803,4275782.98675,168
2023-07-01 06:00:00,4360487.900361937,4442472.4065000005,168
2023-07-01 07:00:00,4525743.232497789,4628467.8065,168
2023-07-01 08:00:00,4807746.0416477695,4891606.903124999,168
2023-07-01 09:00:00,5010315.028377362,5078900.5622499995,168
2023-07-01 10:00:00,5064021.976475209,5133744.50375,168
2023-07-01 11:00:00,5135856.382506214,5228612.564375,168
2023-07-01 12:00:00,5050688.588223916,5192377.946375,168
2023-07-01 13:00:00,4953038.428688534,5070856.218125,168
2023-07-01 14:00:00,4822150.6002063155,5059528.241125,168
2023-07-01 15:00:00,4772950.924479682,5024532.1431249995,168
2023-07-01 16:00:00,4796796.907723416,5084404.780875,168
2023-07-01 17:00:00,4925690.881076511,5193279.17925,168
2023-07-01 18:00:00,5078306.538847394,5285534.4415,168
2023-07-01 19:00:00,5075846.83939904,5231946.739125,168
2023-07-01 20:00:00,4997616.394834213,5102613.2715,168
2023-07-01 21:00:00,4954382.024839334,5014024.263875,168
2023-07-01 22:00:00,5005136.528046183,5019488.309,168
2023-07-01 23:00:00,4806404.193777852,4792773.51675,168
2023-07-02 00:00:00,4515567.804610603,4588989.187999999,168
2023-07-02 01:00:00,4335812.186118342,4471721.92175,168
2023-07-02 02:00:00,4202997.69099839,4321234.912625,168
2023-07-02 03:00:00,4048085.4434422627,4126455.9790000003,168
2023-07-02 04:00:00,3842536.89652285,3931752.433125,168
2023-07-02 05:00:00,3766271.169084735,3857963.219125,168
2023-07-02 06:00:00,3812650.481817484,3917679.9483749997,168
2023-07-02 07:00:00,3854977.5995325893,4073717.6975000002,168
2023-07-02 08:00:00,4080602.139262058,4331445.649750001,168
2023-07-02 09:00:00,4310368.2324124575,4594054.70975,168
2023-07-02 10:00:00,4407159.031222388,4715863.998,168
2023-07-02 11:00:00,4474763.025728442,4846766.171375001,168
2023-07-02 12:00:00,4449273.51736024,4809639.10775,168
2023-07-02 13:00:00,4340415.04960303,4617898.736125,168
2023-07-02 14:00:00,4196384.717172191,4535643.349625,168
2023-07-02 15:00:00,4208860.695699222,4535184.203125,168
2023-07-02 16:00:00,4275697.429862291,4566927.933125,168
2023-07-02 17:00:00,4567643.664222892,4777017.23025,168
2023-07-02 18:00:00,4861571.819571804,5028645.63275,168
2023-07-02 19:00:00,4962746.336220834,5059314.291875,168
2023-07-02 20:00:00,4939978.1076252945,5044363.519875,168
2023-07-02 21:00:00,4918296.498915527,5012898.9125,168
2023-07-02 22:00:00,4931122.430060372,5050708.621,168
2023-07-02 23:00:00,4585419.669192322,4761913.497625,168
2023-07-03 00:00:00,4480472.953332476,4531579.652999999,168
2023-07-03 01:00:00,4344190.24301932,4411999.596875,168
2023-07-03 02:00:00,4286226.109968014,4333519.314125,168
2023-07-03 03:00:00,4192764.286989711,4204024.322625,168
2023-07-03 04:00:00,4132399.556304522,4128770.867,168
2023-07-03 05:00:00,4507353.934528574,4465603.84675,168
2023-07-03 06:00:00,5285666.17297668,5238514.2405,168
2023-07-03 07:00:00,6010121.702984467,5975573.137375,168
2023-07-03 08:00:00,6436713.987130813,6330126.298874999,168
2023-07-03 09:00:00,6465612.157635421,6339004.248625001,168
2023-07-03 10:00:00,6562468.514072418,6451519.0967500005,168
2023-07-03 11:00:00,6735390.18968128,6659334.7042499995,168
2023-07-03 12:00:00,6402636.493181363,6297372.454,168
2023-07-03 13:00:00,6461039.428048745,6263059.0505,168
2023-07-03 14:00:00,6387170.015819445,6126278.593125001,168
2023-07-03 15:00:00,6263680.839079112,6012249.762124999,168
2023-07-03 16:00:00,6163914.784179278,5958786.069125,168
2023-07-03 17:00:00,6100198.667241529,5909348.124500001,168
2023-07-03 18:00:00,6188469.796896845,5983329.107125,168
2023-07-03 19:00:00,6057271.947971538,5874202.09325,168
2023-07-03 20:00:00,5842317.795254253,5718628.883125001,168
2023-07-03 21:00:00,5734121.054387055,5656686.241375,168
2023-07-03 22:00:00,5624959.432341136,5602387.7265,168
2023-07-03 23:00:00,5277554.763429731,5194917.779625,168
2023-07-04 00:00:00,4785776.498184204,4984820.305,168
2023-07-04 01:00:00,4613647.081004053,4824486.195875,168
2023-07-04 02:00:00,4474318.542238824,4642583.113125,168
2023-07-04 03:00:00,4279225.54088591,4478557.040624999,168
2023-07-04 04:00:00,4152512.494934611,4365142.476,168
2023-07-04 05:00:00,4482721.057297543,4722788.48875,168
2023-07-04 06:00:00,5170223.316492483,5384357.5825,168
2023-07-04 07:00:00,5865678.697208382,6066712.083375,168
2023-07-04 08:00:00,6238534.540730879,6393172.818875,168
2023-07-04 09:00:00,6272734.68442291,6424697.614625,168
2023-07-04 10:00:00,6345291.999189019,6493071.5057500005,168
2023-07-04 11:00:00,6530447.387456231,6685052.17625,168
2023-07-04 12:00:00,6135927.6313905865,6293650.576,168
2023-07-04 13:00:00,6149624.896087676,6301211.6055,168
2023-07-04 14:00:00,6036030.7599208355,6172996.461124999,168
2023-07-04 15:00:00,5993701.113444641,6133324.582125001,168
2023-07-04 16:00:00,5990814.2283355,6074333.467125,168
2023-07-04 17:00:00,5991265.133987553,6032271.8555,168
2023-07-04 18:00:00,6047287.481886178,6097641.604125,168
2023-07-04 19:00:00,5882473.519792922,6002771.80225,168
2023-07-04 20:00:00,5678571.9627920315,5816234.230125,168
2023-07-04 21:00:00,5564324.052622199,5722594.104374999,168
2023-07-04 22:00:00,5472798.268372238,5665226.8755,168
2023-07-04 23:00:00,5086925.8307241425,5263810.021625,168
2023-07-05 00:00:00,4894091.912984103,4972959.776,168
2023-07-05 01:00:00,4706542.671814956,4810859.865875,168
2023-07-05 02:00:00,4535827.284835599,4671729.241125,168
2023-07-05 03:00:00,4373908.712849401,4523665.997625,168
2023-07-05 04:00:00,4251418.344704822,4416941.465,168
2023-07-05 05:00:00,4544538.404436745,4743397.38475,168
2023-07-05 06:00:00,5254227.021884419,5462736.7915,168
2023-07-05 07:00:00,6002067.315918684,6167420.440375,168
2023-07-05 08:00:00,6419081.5818471685,6567198.600875,168
2023-07-05 09:00:00,6469417.496351361,6688324.765625,168
2023-07-05 10:00:00,6575397.656263709,6861892.08675,168
2023-07-05 11:00:00,6647323.578468233,7002843.98725,168
2023-07-05 12:00:00,6264150.360335372,6571904.007999999,168
2023-07-05 13:00:00,6241588.282284386,6529628.276500001,168
2023-07-05 14:00:00,6204208.1092586,6329183.892124999,168
2023-07-05 15:00:00,6152614.138769023,6179490.646125,168
2023-07-05 16:00:00,6053119.3528995365,6071185.955125,168
2023-07-05 17:00:00,5943982.919398181,6024212.3375,168
2023-07-05 18:00:00,5985652.996849202,6104820.261124999,168
2023-07-05 19:00:00,5864335.276136376,5960936.55625,168
2023-07-05 20:00:00,5657866.564298525,5722960.205125,168
2023-07-05 21:00:00,5544971.8230865225,5625310.025375,168
2023-07-05 22:00:00,5481429.912915438,5556457.9315,168
2023-07-05 23:00:00,5095398.697773784,5239181.342625,168
2023-07-06 00:00:00,4838916.083796784,4945640.501,168
2023-07-06 01:00:00,4657347.343920521,4774176.813875,168
2023-07-06 02:00:00,4516434.822285026,4705956.008125,168
2023-07-06 03:00:00,4336516.6829351485,4536188.138625001,168
2023-07-06 04:00:00,4200197.309917025,4404050.0479999995,168
2023-07-06 05:00:00,4497092.925764278,4728756.84275,168
2023-07-06 06:00:00,5192512.892102405,5400589.2045,168
2023-07-06 07:00:00,5892577.732485451,6062532.747375,168
2023-07-06 08:00:00,6293537.13755732,6308385.804874999,168
2023-07-06 09:00:00,6340065.448354222,6236908.710625,168
2023-07-06 10:00:00,6479772.753002211,6379117.2897499995,168
2023-07-06 11:00:00,6681718.593442373,6516994.548250001,168
2023-07-06 12:00:00,6369156.06907659,6160798.201,168
2023-07-06 13:00:00,6426822.471331105,6179516.0805,168
2023-07-06 14:00:00,6372071.7570760995,6109938.270125,168
2023-07-06 15:00:00,6299617.133949079,6028090.579125,168
2023-07-06 16:00:00,6311666.405210681,5984295.572125,168
2023-07-06 17:00:00,6304493.991642192,5913353.871499999,168
2023-07-06 18:00:00,6418727.362567812,5980830.565125,168
2023-07-06 19:00:00,6192500.683752321,5890981.731249999,168
2023-07-06 20:00:00,5817735.953959011,5717842.957125001,168
2023-07-06 21:00:00,5607037.907089904,5623975.988375001,168
2023-07-06 22:00:00,5487810.263409674,5609448.6844999995,168
2023-07-06 23:00:00,5125970.410700619,5241972.198625,168
2023-07-07 00:00:00,4910412.72909224,4989902.75,168
2023-07-07 01:00:00,4765371.957956828,4782990.377875,168
2023-07-07 02:00:00,4576493.547452807,4628228.084125,168
2023-07-07 03:00:00,4415759.951798044,4464664.740625,168
2023-07-07 04:00:00,4274161.000128575,4363396.524,168
2023-07-07 05:00:00,4580974.020996362,4664438.73575,168
2023-07-07 06:00:00,5292103.5723903105,5312713.0105,168
2023-07-07 07:00:00,6039190.758682631,5906990.845375,168
2023-07-07 08:00:00,6422231.325570069,6197744.809875,168
2023-07-07 09:00:00,6497487.673612684,6225793.532625,168
2023-07-07 10:00:00,6619269.179937214,6331824.12875,168
2023-07-07 11:00:00,6763869.758887708,6440100.57325,168
2023-07-07 12:00:00,6394589.400827594,6081924.676,168
2023-07-07 13:00:00,6324210.1334297955,6068991.7225,168
2023-07-07 14:00:00,6244152.741214879,5992592.381124999,168
2023-07-07 15:00:00,6090787.788680792,5896814.116125001,168
2023-07-07 16:00:00,5999260.723317124,5803598.903125,168
2023-07-07 17:00:00,6050598.45786465,5853227.2355,168
2023-07-07 18:00:00,6123185.103976779,5982935.280125,168
