loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/p,config/q,config/P,config/Q,config/d,config/D,logdir
41679669.712557144,1730737681,,False,1,46a9a9b5,2024-11-04_17-28-01,112.10400986671448,112.10400986671448,39352,MW-PRD-197955,127.0.0.1,112.10400986671448,1,2,1,1,0,1,1,46a9a9b5
410134.3137568782,1730737719,,False,1,61a2d1c3,2024-11-04_17-28-39,145.8154718875885,145.8154718875885,23844,MW-PRD-197955,127.0.0.1,145.8154718875885,1,7,9,1,1,1,1,61a2d1c3
235140.9908582475,1730737759,,False,1,bdc9965e,2024-11-04_17-29-19,182.03338837623596,182.03338837623596,27232,MW-PRD-197955,127.0.0.1,182.03338837623596,1,17,12,1,0,1,1,bdc9965e
238156.0239567568,1730738379,,False,1,c0da7740,2024-11-04_17-39-39,797.4066476821899,797.4066476821899,35548,MW-PRD-197955,127.0.0.1,797.4066476821899,1,9,5,1,0,1,1,c0da7740
251765.53159343812,1730737768,,False,1,1636f9a3,2024-11-04_17-29-28,181.70396947860718,181.70396947860718,2332,MW-PRD-197955,127.0.0.1,181.70396947860718,1,17,11,1,0,1,1,1636f9a3
218544.0465230622,1730737727,,False,1,5d535f73,2024-11-04_17-28-47,41.08863282203674,41.08863282203674,38108,MW-PRD-197955,127.0.0.1,41.08863282203674,1,4,6,0,0,1,1,5d535f73
267790.97569183464,1730737956,,False,1,93a29f3c,2024-11-04_17-32-36,232.2750539779663,232.2750539779663,20408,MW-PRD-197955,127.0.0.1,232.2750539779663,1,10,23,1,0,1,1,93a29f3c
256261.38971360464,1730742661,,False,1,e54b1348,2024-11-04_18-51-01,4928.98401761055,4928.98401761055,15284,MW-PRD-197955,127.0.0.1,4928.98401761055,1,23,1,1,1,1,1,e54b1348
253278.13229923297,1730739001,,False,1,38a413cd,2024-11-04_17-50-01,1236.9499232769012,1236.9499232769012,24096,MW-PRD-197955,127.0.0.1,1236.9499232769012,1,24,7,0,1,1,1,38a413cd
264202.1277606103,1730739197,,False,1,2e02bb8c,2024-11-04_17-53-17,1424.764330625534,1424.764330625534,21968,MW-PRD-197955,127.0.0.1,1424.764330625534,1,2,24,0,1,1,1,2e02bb8c
229395.92989612606,1730738675,,False,1,c26a1693,2024-11-04_17-44-35,714.184494972229,714.184494972229,2800,MW-PRD-197955,127.0.0.1,714.184494972229,1,5,7,1,0,1,1,c26a1693
278231.8329645963,1730738536,,False,1,9c72c1a7,2024-11-04_17-42-16,152.23550367355347,152.23550367355347,2688,MW-PRD-197955,127.0.0.1,152.23550367355347,1,10,7,1,1,1,1,9c72c1a7
259466.62126781678,1730739128,,False,1,7dfb2075,2024-11-04_17-52-08,587.856283903122,587.856283903122,2200,MW-PRD-197955,127.0.0.1,587.856283903122,1,8,3,1,1,1,1,7dfb2075
262562.2037940519,1730738894,,False,1,3cf0aa77,2024-11-04_17-48-14,214.9745864868164,214.9745864868164,27632,MW-PRD-197955,127.0.0.1,214.9745864868164,1,22,13,1,1,1,1,3cf0aa77
267112.18681351305,1730739180,,False,1,33ed9dc1,2024-11-04_17-53-00,280.9475407600403,280.9475407600403,29660,MW-PRD-197955,127.0.0.1,280.9475407600403,1,0,18,0,1,1,1,33ed9dc1
221392.24478317765,1730739035,,False,1,db4ba733,2024-11-04_17-50-35,29.67612099647522,29.67612099647522,3248,MW-PRD-197955,127.0.0.1,29.67612099647522,1,0,0,0,0,1,1,db4ba733
221392.24478317765,1730739069,,False,1,6c66eb9c,2024-11-04_17-51-09,29.708275318145752,29.708275318145752,20452,MW-PRD-197955,127.0.0.1,29.708275318145752,1,0,0,0,0,1,1,6c66eb9c
251592.47213781608,1730739107,,False,1,04500c67,2024-11-04_17-51-47,33.24193215370178,33.24193215370178,30356,MW-PRD-197955,127.0.0.1,33.24193215370178,1,3,3,0,0,1,1,04500c67
237084.19362742628,1730739175,,False,1,dcdf854a,2024-11-04_17-52-55,62.986271381378174,62.986271381378174,16804,MW-PRD-197955,127.0.0.1,62.986271381378174,1,0,18,0,0,1,1,dcdf854a
246551.8455599967,1730739197,,False,1,8da1fe53,2024-11-04_17-53-17,63.78644776344299,63.78644776344299,5804,MW-PRD-197955,127.0.0.1,63.78644776344299,1,0,20,0,0,1,1,8da1fe53
217045.79471432418,1730739209,,False,1,c4017f9f,2024-11-04_17-53-29,29.869222164154053,29.869222164154053,23868,MW-PRD-197955,127.0.0.1,29.869222164154053,1,4,0,0,0,1,1,c4017f9f
221615.3050897379,1730739239,,False,1,7b0d56c8,2024-11-04_17-53-59,54.1299684047699,54.1299684047699,22348,MW-PRD-197955,127.0.0.1,54.1299684047699,1,13,4,0,0,1,1,7b0d56c8
221821.15151275488,1730739257,,False,1,5bc2734a,2024-11-04_17-54-17,56.645379066467285,56.645379066467285,6008,MW-PRD-197955,127.0.0.1,56.645379066467285,1,14,4,0,0,1,1,5bc2734a
220665.56389819214,1730739260,,False,1,e9d866de,2024-11-04_17-54-20,55.04267501831055,55.04267501831055,10448,MW-PRD-197955,127.0.0.1,55.04267501831055,1,14,3,0,0,1,1,e9d866de
220665.56389819214,1730739268,,False,1,2e349396,2024-11-04_17-54-28,55.011362075805664,55.011362075805664,9892,MW-PRD-197955,127.0.0.1,55.011362075805664,1,14,3,0,0,1,1,2e349396
216854.2617753654,1730739274,,False,1,b5282ec1,2024-11-04_17-54-34,31.491578340530396,31.491578340530396,19020,MW-PRD-197955,127.0.0.1,31.491578340530396,1,5,0,0,0,1,1,b5282ec1
216854.2617753654,1730739293,,False,1,446f7b49,2024-11-04_17-54-53,31.780149221420288,31.780149221420288,16252,MW-PRD-197955,127.0.0.1,31.780149221420288,1,5,0,0,0,1,1,446f7b49
218399.27372311527,1730739301,,False,1,c0b2b265,2024-11-04_17-55-01,34.9074912071228,34.9074912071228,33524,MW-PRD-197955,127.0.0.1,34.9074912071228,1,5,2,0,0,1,1,c0b2b265
217470.52067111997,1730739306,,False,1,c0d2ea51,2024-11-04_17-55-06,33.51990580558777,33.51990580558777,39548,MW-PRD-197955,127.0.0.1,33.51990580558777,1,5,1,0,0,1,1,c0d2ea51
217740.39835749663,1730739313,,False,1,a6d80410,2024-11-04_17-55-13,34.93367385864258,34.93367385864258,32600,MW-PRD-197955,127.0.0.1,34.93367385864258,1,6,1,0,0,1,1,a6d80410
