datetime,pred,kWh,seasonality
2023-07-01 00:00:00,5005898.122625466,4992377.298,168
2023-07-01 01:00:00,4781211.697708566,4781911.091375001,168
2023-07-01 02:00:00,4649974.868433103,4645118.083374999,168
2023-07-01 03:00:00,4462052.701072574,4447286.931875001,168
2023-07-01 04:00:00,4224361.403916787,4221513.2945,168
2023-07-01 05:00:00,4236725.782285012,4275782.98675,168
2023-07-01 06:00:00,4398217.812948875,4442472.4065000005,168
2023-07-01 07:00:00,4567988.300210249,4628467.8065,168
2023-07-01 08:00:00,4850437.838838652,4891606.903124999,168
2023-07-01 09:00:00,5054945.31298301,5078900.5622499995,168
2023-07-01 10:00:00,5109298.51865232,5133744.50375,168
2023-07-01 11:00:00,5179642.453491319,5228612.564375,168
2023-07-01 12:00:00,5093740.203171786,5192377.946375,168
2023-07-01 13:00:00,4996732.26456663,5070856.218125,168
2023-07-01 14:00:00,4865983.986055654,5059528.241125,168
2023-07-01 15:00:00,4816907.140153017,5024532.1431249995,168
2023-07-01 16:00:00,4839478.4761999585,5084404.780875,168
2023-07-01 17:00:00,4968007.106858112,5193279.17925,168
2023-07-01 18:00:00,5120963.736029591,5285534.4415,168
2023-07-01 19:00:00,5118765.897928551,5231946.739125,168
2023-07-01 20:00:00,5036164.754913911,5102613.2715,168
2023-07-01 21:00:00,4995442.058262467,5014024.263875,168
2023-07-01 22:00:00,5046798.338426538,5019488.309,168
2023-07-01 23:00:00,4845136.212865114,4792773.51675,168
2023-07-02 00:00:00,4501218.199268885,4588989.187999999,168
2023-07-02 01:00:00,4316150.493421726,4471721.92175,168
2023-07-02 02:00:00,4181319.9137541726,4321234.912625,168
2023-07-02 03:00:00,4023988.4834661335,4126455.9790000003,168
2023-07-02 04:00:00,3816681.411134213,3931752.433125,168
2023-07-02 05:00:00,3740044.1082308367,3857963.219125,168
2023-07-02 06:00:00,3786543.0271282345,3917679.9483749997,168
2023-07-02 07:00:00,3831875.888545729,4073717.6975000002,168
2023-07-02 08:00:00,4057111.7716200054,4331445.649750001,168
2023-07-02 09:00:00,4285859.746463992,4594054.70975,168
2023-07-02 10:00:00,4382742.97233811,4715863.998,168
2023-07-02 11:00:00,4452706.488673359,4846766.171375001,168
2023-07-02 12:00:00,4429294.17129346,4809639.10775,168
2023-07-02 13:00:00,4319282.438686654,4617898.736125,168
2023-07-02 14:00:00,4175717.860209681,4535643.349625,168
2023-07-02 15:00:00,4185686.343167767,4535184.203125,168
2023-07-02 16:00:00,4251884.073374316,4566927.933125,168
