loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/p,config/q,config/P,config/Q,config/d,config/D,logdir
213172.42551017812,1732933875,,False,1,c49339c7,2024-11-30_03-31-15,1450.3099434375763,1450.3099434375763,19584,MW-PRD-197955,127.0.0.1,1450.3099434375763,1,6,14,0,1,1,1,c49339c7
202952.024771659,1732933322,,False,1,ff0559cf,2024-11-30_03-22-02,585.7566967010498,585.7566967010498,31276,MW-PRD-197955,127.0.0.1,585.7566967010498,1,5,0,0,1,1,1,ff0559cf
202952.024771659,1732933327,,False,1,aac9867f,2024-11-30_03-22-07,583.9414308071136,583.9414308071136,43980,MW-PRD-197955,127.0.0.1,583.9414308071136,1,5,0,0,1,1,1,aac9867f
202952.024771659,1732933398,,False,1,29c21b5f,2024-11-30_03-23-18,587.489660024643,587.489660024643,18892,MW-PRD-197955,127.0.0.1,587.489660024643,1,5,0,0,1,1,1,29c21b5f
202952.024771659,1732933920,,False,1,6d5e85d9,2024-11-30_03-32-00,590.1779186725616,590.1779186725616,2356,MW-PRD-197955,127.0.0.1,590.1779186725616,1,5,0,0,1,1,1,6d5e85d9
205030.7964146674,1732933871,,False,1,069b4656,2024-11-30_03-31-11,533.9975409507751,533.9975409507751,3444,MW-PRD-197955,127.0.0.1,533.9975409507751,1,3,0,0,1,1,1,069b4656
205030.7964146674,1732933880,,False,1,fd6cdc75,2024-11-30_03-31-20,535.7028470039368,535.7028470039368,39144,MW-PRD-197955,127.0.0.1,535.7028470039368,1,3,0,0,1,1,1,fd6cdc75
226158.8477586821,1732934051,,False,1,0ffb6397,2024-11-30_03-34-11,645.5308303833008,645.5308303833008,33528,MW-PRD-197955,127.0.0.1,645.5308303833008,1,2,3,0,1,1,1,0ffb6397
227436.97307818034,1732934835,,False,1,e61c7ca5,2024-11-30_03-47-15,955.9128115177155,955.9128115177155,10244,MW-PRD-197955,127.0.0.1,955.9128115177155,1,2,10,0,1,1,1,e61c7ca5
226158.8477586821,1732934523,,False,1,0409a76a,2024-11-30_03-42-03,634.8301749229431,634.8301749229431,17800,MW-PRD-197955,127.0.0.1,634.8301749229431,1,2,3,0,1,1,1,0409a76a
