loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/h,config/step_size,config/val_check_steps,config/max_steps,config/scaler_type,config/input_size,config/n_harmonics,config/n_polynomials,config/stack_types,config/n_blocks,config/n_hidden,config/hidden_size,config/dropout_prob_theta,config/activation,config/learning_rate,config/num_lr_decays,config/early_stop_patience_steps,config/batch_size,logdir
949979.5625,1732985341,,False,1,6e452f83,2024-11-30_17-49-01,704.7920658588409,704.7920658588409,41316,MW-PRD-197955,127.0.0.1,704.7920658588409,1,24,24,1,2000,identity,72,5,4,"['trend', 'seasonality', 'identity']","[2, 4, 4]",4,32,0.13640498098408493,Tanh,1.3097622147001253e-05,10,100,256,6e452f83
inf,1732985254,,False,1,e8c2287c,2024-11-30_17-47-34,0.06725311279296875,0.06725311279296875,32500,MW-PRD-197955,127.0.0.1,0.06725311279296875,1,24,24,1,2000,identity,120,7,10,"['identity', 'seasonality', 'trend']","[4, 4, 5]",1,64,0.4957006259732161,Sigmoid,0.006993735273970331,2,100,16,e8c2287c
374644.09375,1732985782,,False,1,eb8d8d9b,2024-11-30_17-56-22,511.3687789440155,511.3687789440155,38840,MW-PRD-197955,127.0.0.1,511.3687789440155,1,24,24,1,2000,identity,24,6,8,"['identity', 'seasonality', 'trend']","[3, 1, 4]",2,128,0.12257965183637076,LeakyReLU,0.0012278145538201432,10,100,128,eb8d8d9b
inf,1732985358,,False,1,a8f7b324,2024-11-30_17-49-18,0.03659558296203613,0.03659558296203613,25408,MW-PRD-197955,127.0.0.1,0.03659558296203613,1,24,24,1,2000,identity,24,8,8,"['identity', 'seasonality', 'trend']","[2, 4, 2]",1,128,0.3626298285447839,LeakyReLU,0.0009417307244974265,8,100,128,a8f7b324
266858.0,1732988631,,False,1,6337578a,2024-11-30_18-43-51,3203.347091436386,3203.347091436386,21372,MW-PRD-197955,127.0.0.1,3203.347091436386,1,24,24,1,2000,identity,168,5,7,"['seasonality', 'trend', 'identity']","[2, 2, 4]",2,512,0.16327121947846643,ReLU,0.00064478461751492,5,100,128,6337578a
250927.421875,1732991058,,False,1,2ed6d69c,2024-11-30_19-24-18,5258.808250665665,5258.808250665665,37692,MW-PRD-197955,127.0.0.1,5258.808250665665,1,24,24,1,2000,identity,168,9,6,"['seasonality', 'trend', 'identity']","[2, 2, 4]",2,512,0.007532297585980785,ReLU,0.00023634610297078534,5,100,32,2ed6d69c
inf,1732987426,,False,1,db278eed,2024-11-30_18-23-46,0.10472750663757324,0.10472750663757324,27632,MW-PRD-197955,127.0.0.1,0.10472750663757324,1,24,24,1,2000,identity,168,5,7,"['seasonality', 'trend', 'identity']","[2, 1, 4]",1,512,0.1895936532528155,ReLU,5.265388465628831e-06,1,100,128,db278eed
284750.1875,1732993937,,False,1,a66c1e73,2024-11-30_20-12-17,6494.356604337692,6494.356604337692,23828,MW-PRD-197955,127.0.0.1,6494.356604337692,1,24,24,1,2000,identity,144,8,6,"['identity', 'seasonality', 'trend']","[4, 4, 5]",2,512,0.27891933851817174,ReLU,0.00033315800508778296,5,100,128,a66c1e73
252318.40625,1732994223,,False,1,feead808,2024-11-30_20-17-03,5572.5943014621735,5572.5943014621735,17936,MW-PRD-197955,127.0.0.1,5572.5943014621735,1,24,24,1,2000,identity,168,4,6,"['seasonality', 'trend', 'identity']","[1, 5, 5]",2,512,0.171712007195485,ReLU,0.0003367558442653387,5,100,128,feead808
291517.21875,1732991940,,False,1,14f62f18,2024-11-30_19-39-00,1448.5047969818115,1448.5047969818115,35092,MW-PRD-197955,127.0.0.1,1448.5047969818115,1,24,24,1,2000,identity,168,4,6,"['seasonality', 'trend', 'identity']","[1, 1, 1]",2,512,0.17343583830226045,ReLU,0.0028591217676755686,5,100,128,14f62f18
260746.28125,1732995116,,False,1,3efe100e,2024-11-30_20-31-56,4043.8637585639954,4043.8637585639954,23964,MW-PRD-197955,127.0.0.1,4043.8637585639954,1,24,24,1,2000,identity,168,4,6,"['seasonality', 'trend', 'identity']","[1, 4, 3]",2,512,0.1555847334704378,ReLU,0.0023813708887487216,5,100,32,3efe100e
260769.609375,1732996177,,False,1,195440bc,2024-11-30_20-49-37,4222.646742582321,4222.646742582321,4704,MW-PRD-197955,127.0.0.1,4222.646742582321,1,24,24,1,2000,identity,168,4,6,"['seasonality', 'trend', 'identity']","[3, 1, 3]",2,512,0.04324967047617793,ReLU,0.00041689256774030185,5,100,32,195440bc
inf,1732993957,,False,1,fbbeb008,2024-11-30_20-12-37,0.09987545013427734,0.09987545013427734,25584,MW-PRD-197955,127.0.0.1,0.09987545013427734,1,24,24,1,2000,identity,168,4,7,"['seasonality', 'trend', 'identity']","[3, 1, 3]",1,512,0.045193590793842824,ReLU,0.0004978862867051269,5,100,32,fbbeb008
inf,1732994241,,False,1,25ff0b80,2024-11-30_20-17-21,0.10431337356567383,0.10431337356567383,19564,MW-PRD-197955,127.0.0.1,0.10431337356567383,1,24,24,1,2000,identity,168,6,7,"['seasonality', 'trend', 'identity']","[1, 4, 1]",1,512,0.22812659785907433,ReLU,9.743687571420224e-05,6,100,32,25ff0b80
728010.3125,1732998084,,False,1,301f8eb9,2024-11-30_21-21-24,3824.2785398960114,3824.2785398960114,32452,MW-PRD-197955,127.0.0.1,3824.2785398960114,1,24,24,1,2000,identity,168,9,6,"['seasonality', 'trend', 'identity']","[4, 2, 1]",2,512,0.05615043395224159,ReLU,0.002471602289555005,4,100,32,301f8eb9
250143.515625,1732996833,,False,1,516cc83c,2024-11-30_21-00-33,1698.6832358837128,1698.6832358837128,33940,MW-PRD-197955,127.0.0.1,1698.6832358837128,1,24,24,1,2000,identity,168,3,6,"['seasonality', 'trend', 'identity']","[5, 3, 4]",4,16,0.050488763445891954,ReLU,0.002552144124018154,4,100,32,516cc83c
264280.78125,1732996662,,False,1,7cf2b6c4,2024-11-30_20-57-42,467.6992974281311,467.6992974281311,21680,MW-PRD-197955,127.0.0.1,467.6992974281311,1,24,24,1,2000,identity,168,9,5,"['identity', 'trend', 'seasonality']","[3, 3, 1]",4,16,0.003117358294389707,ReLU,0.003241599927519047,4,100,32,7cf2b6c4
inf,1732996679,,False,1,0345a9b4,2024-11-30_20-57-59,0.07254862785339355,0.07254862785339355,33620,MW-PRD-197955,127.0.0.1,0.07254862785339355,1,24,24,1,2000,identity,120,3,6,"['seasonality', 'trend', 'identity']","[3, 5, 3]",1,512,0.11838538914079674,Tanh,1.7414191299096836e-05,6,100,32,0345a9b4
270951.8125,1732997922,,False,1,0f489961,2024-11-30_21-18-42,1070.7567052841187,1070.7567052841187,6064,MW-PRD-197955,127.0.0.1,1070.7567052841187,1,24,24,1,2000,identity,168,3,4,"['seasonality', 'trend', 'identity']","[3, 1, 2]",4,16,0.0675262618804971,ReLU,0.002424288547322441,4,100,32,0f489961
269504.71875,1733000772,,False,1,fb18eeb5,2024-11-30_22-06-12,2831.9857523441315,2831.9857523441315,36160,MW-PRD-197955,127.0.0.1,2831.9857523441315,1,24,24,1,2000,identity,168,1,5,"['seasonality', 'trend', 'identity']","[2, 4, 5]",4,16,0.028537318905602273,ReLU,0.00018072602748222432,4,100,32,fb18eeb5
279888.59375,1733000689,,False,1,6037346a,2024-11-30_22-04-49,2587.4309277534485,2587.4309277534485,3408,MW-PRD-197955,127.0.0.1,2587.4309277534485,1,24,24,1,2000,identity,168,1,5,"['trend', 'identity', 'seasonality']","[3, 1, 4]",4,16,0.023286880360672738,ReLU,0.0002240335223041012,6,100,32,6037346a
