loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/num_leaves,config/learning_rate,config/n_estimators,config/subsample,config/reg_alpha,config/reg_lambda,logdir
1204296.133922538,1732978994,,False,1,56a8d82c,2024-11-30_16-03-14,31.258095264434814,31.258095264434814,22960,MW-PRD-197955,127.0.0.1,31.258095264434814,1,42,1.7473679651745735e-05,628,0.9816969292519445,85.14244054721689,47.376658040506626,56a8d82c
283695.4133215817,1732979008,,False,1,2cc0591f,2024-11-30_16-03-28,38.8309211730957,38.8309211730957,39776,MW-PRD-197955,127.0.0.1,38.8309211730957,1,63,0.10906302387326335,715,0.7593848647104372,83.13895462030277,43.732520564935115,2cc0591f
262644.3673598811,1732979009,,False,1,eae7e480,2024-11-30_16-03-29,32.524131059646606,32.524131059646606,37656,MW-PRD-197955,127.0.0.1,32.524131059646606,1,21,0.1263457796901024,391,0.7682324712706119,23.13507564579631,51.182780099569634,eae7e480
1201510.4962828972,1732979016,,False,1,a08fbaa4,2024-11-30_16-03-36,30.634753227233887,30.634753227233887,39756,MW-PRD-197955,127.0.0.1,30.634753227233887,1,13,0.000111687425331739,265,0.7881932897528416,43.5906666027686,52.89009364525443,a08fbaa4
1204644.644401865,1732979027,,False,1,3dbef221,2024-11-30_16-03-47,34.12944555282593,34.12944555282593,6312,MW-PRD-197955,127.0.0.1,34.12944555282593,1,71,2.6009453628768935e-05,268,0.7526439251901269,20.331901051301326,14.467228722237103,3dbef221
315418.1528196024,1732979047,,False,1,817bb084,2024-11-30_16-04-07,44.54667830467224,44.54667830467224,4020,MW-PRD-197955,127.0.0.1,44.54667830467224,1,80,0.3181956269674031,603,0.8376924095634053,77.40519361253163,3.9619943443434447,817bb084
299130.61554922187,1732979045,,False,1,19ded5c0,2024-11-30_16-04-05,33.207897901535034,33.207897901535034,39840,MW-PRD-197955,127.0.0.1,33.207897901535034,1,55,0.2350505294774934,170,0.6674470002817211,94.23353436255088,56.68364578231492,19ded5c0
301019.58639606094,1732979058,,False,1,0c0b33b3,2024-11-30_16-04-18,37.929712533950806,37.929712533950806,23224,MW-PRD-197955,127.0.0.1,37.929712533950806,1,52,0.013198799881240068,493,0.7306817604622313,9.241568122716204,14.098282886296943,0c0b33b3
303579.7975885106,1732979059,,False,1,66931b70,2024-11-30_16-04-19,31.766571521759033,31.766571521759033,39068,MW-PRD-197955,127.0.0.1,31.766571521759033,1,20,0.057679173681185435,186,0.8257732478167612,33.3525554776901,92.66807022370732,66931b70
1203244.4905385731,1732979071,,False,1,d9651a4e,2024-11-30_16-04-31,36.064722776412964,36.064722776412964,33268,MW-PRD-197955,127.0.0.1,36.064722776412964,1,46,6.689815178243912e-05,307,0.6743079214356098,61.71009397819891,62.19949689365447,d9651a4e
276113.22210724273,1732979088,,False,1,f7207d79,2024-11-30_16-04-48,46.461188554763794,46.461188554763794,40044,MW-PRD-197955,127.0.0.1,46.461188554763794,1,64,0.017865357522398106,589,0.8251704589254957,14.03742363284981,3.6963132225955153,f7207d79
1183308.7595881473,1732979091,,False,1,9b40118d,2024-11-30_16-04-51,42.20031142234802,42.20031142234802,19412,MW-PRD-197955,127.0.0.1,42.20031142234802,1,37,0.0002647239545730054,732,0.6405706356079193,9.841656455939141,15.392393911289759,9b40118d
1204404.240647564,1732979101,,False,1,44bfe858,2024-11-30_16-05-01,44.399396896362305,44.399396896362305,17524,MW-PRD-197955,127.0.0.1,44.399396896362305,1,49,1.8249186134697822e-05,791,0.5805432680682647,0.11271528558692845,73.89289176651617,44bfe858
277278.24973585526,1732979097,,False,1,0b0a1883,2024-11-30_16-04-57,32.803255558013916,32.803255558013916,36532,MW-PRD-197955,127.0.0.1,32.803255558013916,1,14,0.10044718651180029,160,0.8688987433711746,80.87295358233342,6.175339319704831,0b0a1883
297184.40264139307,1732979108,,False,1,ed1693f8,2024-11-30_16-05-08,36.66726088523865,36.66726088523865,25912,MW-PRD-197955,127.0.0.1,36.66726088523865,1,32,0.026276040865750853,355,0.6604246854533147,83.16862319164117,51.557900819820034,ed1693f8
693923.8338766121,1732979125,,False,1,d65af950,2024-11-30_16-05-25,44.52334523200989,44.52334523200989,19576,MW-PRD-197955,127.0.0.1,44.52334523200989,1,98,0.00480396742899351,437,0.5086708449750914,0.196858575467715,82.63035008862323,d65af950
1057186.3896322926,1732979128,,False,1,fb11878d,2024-11-30_16-05-28,40.4467511177063,40.4467511177063,41380,MW-PRD-197955,127.0.0.1,40.4467511177063,1,95,0.002063222314260689,434,0.5192550411280811,2.126071918190675,87.46341362908449,fb11878d
1181093.0793705168,1732979129,,False,1,8c098739,2024-11-30_16-05-29,32.66665196418762,32.66665196418762,6940,MW-PRD-197955,127.0.0.1,32.66665196418762,1,99,0.0036774739091871285,57,0.5140384959399218,2.0123555053159876,83.11074741672974,8c098739
681355.9615222767,1732979146,,False,1,6e285043,2024-11-30_16-05-46,42.87954807281494,42.87954807281494,2364,MW-PRD-197955,127.0.0.1,42.87954807281494,1,99,0.004917775766200637,427,0.5379331660239393,29.162075084971924,33.01868953804008,6e285043
954030.1783460286,1732979155,,False,1,7e9d6213,2024-11-30_16-05-55,43.59126353263855,43.59126353263855,44680,MW-PRD-197955,127.0.0.1,43.59126353263855,1,95,0.0029292516785776107,433,0.9125743662941856,29.934235707321573,31.706416798592834,7e9d6213
